frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects,stream_total_ms,phase_unload_us,phase_async_us,phase_inst_us,phase_promo_us,phase_coll_us,phase_defer_us,phase_queue_us,phase_cellupd_us
3396,17.41,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514672810,0,14378,795,2333.2,2088.8,395,7.65,1,11,17,7568,7,3,2,0
3397,24.29,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514673106,0,14378,795,2333.2,2088.8,395,0.42,2,11,17,6,339,3,2,0
3398,17.79,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514673402,0,14378,795,2333.2,2088.8,395,7.98,2,15,23,7802,8,77,2,0
3399,24.02,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514673698,0,14378,795,2333.2,2088.8,395,0.40,1,12,16,5,314,3,2,0
3400,17.93,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514673994,0,14378,795,2333.2,2088.8,395,7.21,1,12,18,7129,7,2,3,0
3401,24.57,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514674290,0,14378,795,2333.2,2088.8,395,0.37,1,13,17,5,287,2,2,0
3402,18.16,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514674586,0,14378,795,2333.2,2088.8,395,7.85,1,10,17,7711,7,66,2,0
3403,24.51,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514674882,0,14378,795,2333.2,2088.8,395,0.36,1,10,16,5,288,2,1,0
3404,17.49,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514675178,0,14378,795,2333.2,2088.8,395,7.48,1,10,17,7396,9,4,3,0
3405,24.99,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514675474,0,14378,795,2333.2,2088.8,395,0.40,1,10,17,5,317,2,2,0
3406,17.47,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514675770,0,14378,795,2333.2,2088.8,395,8.00,0,10,16,7831,10,94,2,0
3407,24.94,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514676066,0,14378,795,2333.2,2088.8,395,0.48,3,19,20,6,386,3,2,0
3408,17.99,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514676362,0,14378,795,2333.2,2088.8,395,7.19,1,10,17,7114,5,2,2,0
3409,23.84,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514676658,0,14378,795,2333.2,2088.8,395,0.41,1,15,20,10,315,4,3,0
3410,17.52,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514676954,0,14378,795,2333.2,2088.8,395,8.02,2,15,21,7865,7,62,0,0
3411,24.88,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514677250,0,14378,795,2333.2,2088.8,395,0.46,1,13,20,21,364,3,2,0
3412,19.47,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514677530,0,14378,795,2333.2,2088.8,395,7.56,1,12,23,7466,8,4,2,0
3413,24.41,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514677826,0,14378,795,2333.2,2088.8,395,0.38,1,10,17,5,297,2,1,0
3414,17.35,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514678122,0,14378,795,2333.2,2088.8,395,7.36,1,12,20,7203,7,73,3,0
3415,24.28,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514678418,0,14378,795,2333.2,2088.8,395,0.38,1,19,17,5,294,2,1,0
3416,17.45,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514678714,0,14378,795,2333.2,2088.8,395,7.84,1,12,19,7742,8,4,5,0
3417,25.09,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514679010,0,14378,795,2333.2,2088.8,395,0.36,1,10,16,6,282,2,1,0
3418,18.82,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514679306,0,14378,795,2333.2,2088.8,395,7.46,1,11,17,7298,8,82,2,0
3419,24.88,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514679602,0,14378,795,2333.2,2088.8,395,0.42,2,12,17,7,334,4,1,0
3420,20.51,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514681866,0,14378,795,2333.2,2088.8,395,7.10,1,8,16,7012,7,3,3,0
3421,25.53,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514681874,0,14378,795,2333.2,2088.8,395,0.34,1,10,16,5,277,1,1,0
3422,19.18,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514682170,0,14378,795,2333.2,2088.8,395,8.00,1,12,22,7837,7,73,2,0
3423,25.73,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514682466,0,14378,795,2333.2,2088.8,395,0.39,1,11,17,6,311,3,2,0
3424,17.59,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514682746,0,14378,795,2333.2,2088.8,395,7.32,1,11,18,7244,7,2,2,0
3425,24.47,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514684946,0,14378,795,2333.2,2088.8,395,0.41,2,13,17,6,330,3,1,0
3426,18.33,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514683338,0,14378,795,2333.2,2088.8,395,7.66,1,10,17,7516,6,72,2,0
3427,25.30,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514683634,0,14378,795,2333.2,2088.8,395,0.37,1,10,17,5,298,3,1,0
3428,18.24,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514683930,0,14378,795,2333.2,2088.8,395,7.88,2,16,24,7778,7,2,2,0
