frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects
65,24.60,20.0,57,4,84,29890,135,10,3,-175.5,148.2,1765.7,1745196030,1,119,108,471.7,415.4,0
66,24.22,20.0,63,39,182,37671,85,12,3,-175.5,148.0,1763.3,1745996410,1,167,108,472.7,416.4,0
67,34.45,20.0,71,53,201,39796,132,14,3,-175.5,147.9,1760.8,1751446901,1,214,108,473.0,416.8,0
68,42.24,20.0,79,52,200,39606,83,16,4,-175.5,147.6,1757.1,1758647031,1,261,109,475.4,419.1,0
69,45.82,20.0,83,57,207,39768,33,18,2,-175.5,147.4,1752.4,1761396833,1,309,109,478.0,421.8,0
70,25.38,20.0,87,58,219,40580,145,18,3,-175.5,147.0,1746.9,1763896602,1,341,109,479.0,422.8,0
71,24.00,20.0,95,66,318,48716,95,20,3,-175.5,146.8,1743.8,1767216102,1,388,109,480.0,423.8,0
72,24.77,20.0,103,72,411,58345,68,22,3,-175.5,146.6,1740.8,1769830978,1,435,109,481.0,424.8,0
73,43.40,20.0,107,88,514,68801,167,24,4,-175.5,146.4,1737.6,1778547226,1,484,109,485.6,429.0,0
74,57.63,20.0,109,95,494,67942,134,26,2,-175.5,146.1,1731.7,1784306398,1,533,120,488.9,432.3,0
75,41.19,20.0,123,90,487,67078,140,26,4,-175.5,145.6,1723.6,1792228094,1,577,120,499.3,442.3,0
76,124.16,20.0,123,106,453,64499,355,28,3,-175.5,145.2,1717.6,1804351750,1,627,132,530.7,472.5,0
77,46.06,20.0,125,122,541,67802,605,28,5,-175.5,144.0,1698.2,1813683118,1,677,139,535.1,476.7,0
78,48.18,20.0,125,120,520,65820,580,28,5,-175.5,143.5,1690.6,1817724690,1,727,149,537.3,478.9,0
79,42.49,20.0,130,147,603,73960,530,28,6,-175.5,143.0,1682.4,1822558882,1,775,149,538.1,479.7,0
